elapsed_s,container,cpu_pct,mem_used_bytes,mem_limit_bytes,net_io,block_io
0,bench-vdg-1,0.00,12.75MiB,4GiB,11.7kB/7.59kB,67.6MB/0B
0,bench-minio-1,0.00,248MiB,2GiB,16.5kB/8.82kB,154MB/53.2kB
4,bench-vdg-1,0.00,12.75MiB,4GiB,11.7kB/7.59kB,67.6MB/0B
4,bench-minio-1,5.28,249.7MiB,2GiB,16.5kB/8.82kB,154MB/53.2kB
8,bench-vdg-1,0.00,12.5MiB,4GiB,11.7kB/7.59kB,67.6MB/0B
8,bench-minio-1,0.05,249.6MiB,2GiB,16.5kB/8.82kB,154MB/57.3kB
12,bench-vdg-1,0.00,12.75MiB,4GiB,15.1kB/10.4kB,67.6MB/0B
12,bench-minio-1,0.55,250MiB,2GiB,19.4kB/12.1kB,154MB/65.5kB
16,bench-vdg-1,0.00,12.75MiB,4GiB,15.1kB/10.4kB,67.6MB/0B
16,bench-minio-1,0.00,250MiB,2GiB,19.4kB/12.1kB,154MB/65.5kB
19,bench-vdg-1,0.00,12.52MiB,4GiB,15.1kB/10.4kB,67.6MB/0B
19,bench-minio-1,0.06,250.2MiB,2GiB,19.4kB/12.1kB,154MB/65.5kB
23,bench-vdg-1,35.79,100.9MiB,4GiB,81.8MB/6.8MB,77.4MB/0B
23,bench-minio-1,15.93,266.9MiB,2GiB,4.89MB/381kB,154MB/5.45MB
27,bench-vdg-1,37.67,138.5MiB,4GiB,194MB/15.8MB,133MB/0B
27,bench-minio-1,94.07,370.3MiB,2GiB,13.4MB/21.7MB,154MB/15.7MB
32,bench-vdg-1,38.59,150MiB,4GiB,287MB/25.6MB,133MB/0B
32,bench-minio-1,10.78,380.7MiB,2GiB,23MB/24.8MB,155MB/28.6MB
36,bench-vdg-1,38.51,147MiB,4GiB,378MB/37.3MB,133MB/0B
36,bench-minio-1,15.75,401.7MiB,2GiB,34.3MB/29.4MB,155MB/43.4MB
40,bench-vdg-1,40.35,150.8MiB,4GiB,451MB/46.6MB,133MB/0B
40,bench-minio-1,11.68,401.9MiB,2GiB,49.9MB/36.7MB,155MB/62.3MB
44,bench-vdg-1,40.23,213MiB,4GiB,643MB/64.8MB,133MB/0B
44,bench-minio-1,11.14,467.3MiB,2GiB,61.1MB/114MB,155MB/73.7MB
48,bench-vdg-1,40.90,213.3MiB,4GiB,738MB/80.7MB,133MB/0B
48,bench-minio-1,16.94,475.2MiB,2GiB,76.7MB/123MB,155MB/89.5MB
52,bench-vdg-1,44.81,213.5MiB,4GiB,838MB/97.3MB,133MB/0B
52,bench-minio-1,11.51,476.5MiB,2GiB,92.9MB/133MB,155MB/106MB
56,bench-vdg-1,44.46,213.9MiB,4GiB,936MB/116MB,133MB/0B
56,bench-minio-1,23.11,479.8MiB,2GiB,111MB/144MB,155MB/125MB
60,bench-vdg-1,45.69,214.7MiB,4GiB,1.16GB/137MB,133MB/0B
60,bench-minio-1,25.69,528MiB,2GiB,131MB/279MB,155MB/145MB
64,bench-vdg-1,47.44,215.6MiB,4GiB,1.27GB/158MB,133MB/0B
64,bench-minio-1,12.44,530MiB,2GiB,152MB/293MB,155MB/166MB
68,bench-vdg-1,48.33,215.4MiB,4GiB,1.37GB/180MB,133MB/0B
68,bench-minio-1,12.38,531.7MiB,2GiB,175MB/308MB,155MB/189MB
72,bench-vdg-1,86.55,217.1MiB,4GiB,1.56GB/205MB,133MB/0B
72,bench-minio-1,17.65,533.2MiB,2GiB,198MB/325MB,155MB/213MB
76,bench-vdg-1,50.00,227.8MiB,4GiB,1.76GB/231MB,133MB/0B
76,bench-minio-1,12.67,564.2MiB,2GiB,224MB/516MB,155MB/238MB
80,bench-vdg-1,50.76,228.2MiB,4GiB,1.86GB/258MB,133MB/0B
80,bench-minio-1,22.50,566.3MiB,2GiB,251MB/536MB,155MB/266MB
84,bench-vdg-1,53.01,228.1MiB,4GiB,1.98GB/286MB,133MB/0B
84,bench-minio-1,18.05,567.7MiB,2GiB,278MB/557MB,155MB/293MB
88,bench-vdg-1,52.40,228.3MiB,4GiB,2.06GB/308MB,133MB/0B
88,bench-minio-1,211.51,580.4MiB,2GiB,316MB/771MB,155MB/330MB
93,bench-vdg-1,56.54,234.7MiB,4GiB,2.4GB/341MB,133MB/0B
93,bench-minio-1,18.66,598.4MiB,2GiB,348MB/835MB,155MB/362MB
